SectorCode,Sector,Region,regioncode,kpi,year,value
B,Mining and quarrying,Al Jawf,AJA,Workforce,2015,0.0
C,Manufacturing,Al Jawf,AJA,Workforce,2015,0.0
D,"Electricity, gas, steam and air conditioning supply",Al Jawf,AJA,Workforce,2015,0.0
E,"Water supply; sewerage, waste management and remediation activities",Al Jawf,AJA,Workforce,2015,0.0
F,Construction,Al Jawf,AJA,Workforce,2015,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Al Jawf,AJA,Workforce,2015,0.0
H,Transportation and storage,Al Jawf,AJA,Workforce,2015,0.0
I,Accommodation and food service activities,Al Jawf,AJA,Workforce,2015,0.0
J,Information and Communication,Al Jawf,AJA,Workforce,2015,0.0
K,Financial and insurance activities,Al Jawf,AJA,Workforce,2015,0.0
L,Real estate activities,Al Jawf,AJA,Workforce,2015,0.0
M,"Professional, scientific and technical activities",Al Jawf,AJA,Workforce,2015,0.0
N,Administrative and support service activities,Al Jawf,AJA,Workforce,2015,0.0
O,Public administration and defense; compulsory social security,Al Jawf,AJA,Workforce,2015,0.0
P,Education,Al Jawf,AJA,Workforce,2015,0.0
Q,Human health and social work activities,Al Jawf,AJA,Workforce,2015,0.0
R,"Arts, entertainment and recreation",Al Jawf,AJA,Workforce,2015,0.0
S,Other service activities,Al Jawf,AJA,Workforce,2015,0.0
T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Al Jawf,AJA,Workforce,2015,0.0
U,Activities of extraterritorial organizations and bodies,Al Jawf,AJA,Workforce,2015,0.0
V,Undefined,Al Jawf,AJA,Workforce,2015,0.0
A,"Agriculture, forestry and fishing",Al Jawf,AJA,Investments,2015,10.546429048435503
B,Mining and Quarrying,Al Jawf,AJA,Investments,2015,337.7617041003648
C,Manufacturing,Al Jawf,AJA,Investments,2015,2299.390148637012
D,"Electricity, gas, steam and air conditioning supplies",Al Jawf,AJA,Investments,2015,251.5196722199219
E,"Water supply; sewerage, waste management and remediation activities",Al Jawf,AJA,Investments,2015,114.57875835776703
F,Construction,Al Jawf,AJA,Investments,2015,626.004116049276
